catalyst_name,catalyst_composition_available,starting_material_active_1,active_comp_1,active_1_percent,starting_material_2,active_comp_2,active_2_percent,support_comp_1,support_1_percent,support_comp_2,support_2_percent,catalyst_surface_area_m2_g,mean_pore_diameter_nm,temperature_k,pressure_bar,pH2_pCO2_ratio,GHSV_nlph_gcat,catalyst_load_g,CO2_conversion,selectivity_CH3OH,yield_CH3OH,STY_g_per_gcath
Cu/Mg/Al pH-7,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,59,,673.15,20,2.8,2000,,33.2,,,
Cu/Mg/Al pH-8,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,55,,473.15,20,2.8,2000,,3.6,31,1.116,8.2
Cu/Mg/Al pH-8,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,55,,523.15,20,2.8,2000,,12.8,,,
Cu/Mg/Al pH-8,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,55,,573.15,20,2.8,2000,,20.1,,,
Cu/Mg/Al pH-8,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,55,,623.15,20,2.8,2000,,27.4,,,
Cu/Mg/Al pH-8,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,55,,673.15,20,2.8,2000,,33.5,,,
Cu/Mg/Al pH-9,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,61,,473.15,20,2.8,2000,,4.8,3.5,0.168,1.2
Cu/Mg/Al pH-9,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,61,,523.15,20,2.8,2000,,12.2,,,
Cu/Mg/Al pH-9,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,61,,573.15,20,2.8,2000,,20,,,
Cu/Mg/Al pH-9,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,61,,623.15,20,2.8,2000,,26.9,,,
Cu/Mg/Al pH-9,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,61,,673.15,20,2.8,2000,,33.8,,,
Cu/Mg/Al pH-11,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,64,,473.15,20,2.8,2000,,0.4,1,0.004,
Cu/Mg/Al pH-11,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,64,,523.15,20,2.8,2000,,4,,,
Cu/Mg/Al pH-11,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,64,,573.15,20,2.8,2000,,17.8,,,
Cu/Mg/Al pH-11,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,64,,623.15,20,2.8,2000,,27.6,,,
Cu/Mg/Al pH-11,Yes,Copper nitrate,Cu,50,Magnesium nitrate,Mg,30,Al2O3,20,MgO,,64,,673.15,20,2.8,2000,,34.2,,,
Blank reaction,No,,,,,,,,,,,0,,473.15,20,2.8,2000,,0,0,0,0
